Method,Precision,Recall
deepforest,0.3944223107569721,1.0
deepforest,0.39461883408071746,1.0
deepforest,0.3948155533399801,1.0
deepforest,0.3950124688279302,1.0
deepforest,0.39520958083832336,1.0
deepforest,0.39540688966550175,1.0
deepforest,0.3956043956043956,1.0
deepforest,0.39580209895052476,1.0
deepforest,0.396,1.0
deepforest,0.39619809904952474,1.0
deepforest,0.3963963963963964,1.0
deepforest,0.39659489233850775,1.0
deepforest,0.3967935871743487,1.0
deepforest,0.3969924812030075,1.0
deepforest,0.3971915747241725,1.0
deepforest,0.39739086803813345,1.0
deepforest,0.39759036144578314,1.0
deepforest,0.39779005524861877,1.0
deepforest,0.39798994974874374,1.0
deepforest,0.39819004524886875,1.0
deepforest,0.3983903420523139,1.0
deepforest,0.3985908404630096,1.0
deepforest,0.3987915407854985,1.0
deepforest,0.39899244332493705,1.0
deepforest,0.39919354838709675,1.0
deepforest,0.39939485627836613,1.0
deepforest,0.39959636730575177,1.0
deepforest,0.39979808177688037,1.0
deepforest,0.4,1.0
deepforest,0.40020212228398183,1.0
deepforest,0.40040444893832156,1.0
deepforest,0.4006069802731411,1.0
deepforest,0.4008097165991903,1.0
deepforest,0.4010126582278481,1.0
deepforest,0.4012158054711246,1.0
deepforest,0.40141915864166244,1.0
deepforest,0.40162271805273836,1.0
deepforest,0.4018264840182648,1.0
deepforest,0.4020304568527919,1.0
deepforest,0.4022346368715084,1.0
deepforest,0.4024390243902439,1.0
deepforest,0.40264361972547025,1.0
deepforest,0.40284842319430314,1.0
deepforest,0.4030534351145038,1.0
deepforest,0.40325865580448067,1.0
deepforest,0.4034640855832909,1.0
deepforest,0.4031600407747197,0.9987373737373737
deepforest,0.4033656297807241,0.9987373737373737
deepforest,0.4035714285714286,0.9987373737373737
deepforest,0.40377743746809597,0.9987373737373737
deepforest,0.40398365679264553,0.9987373737373737
deepforest,0.40419008686765456,0.9987373737373737
deepforest,0.4043967280163599,0.9987373737373737
deepforest,0.4046035805626598,0.9987373737373737
deepforest,0.4048106448311157,0.9987373737373737
deepforest,0.4050179211469534,0.9987373737373737
deepforest,0.4052254098360656,0.9987373737373737
deepforest,0.4054331112250128,0.9987373737373737
deepforest,0.40564102564102567,0.9987373737373737
deepforest,0.40584915341200617,0.9987373737373737
deepforest,0.40605749486652976,0.9987373737373737
deepforest,0.40626605033384694,0.9987373737373737
deepforest,0.4064748201438849,0.9987373737373737
deepforest,0.40668380462724935,0.9987373737373737
deepforest,0.40689300411522633,0.9987373737373737
deepforest,0.40710241893978383,0.9987373737373737
deepforest,0.40731204943357363,0.9987373737373737
deepforest,0.40752189592993304,0.9987373737373737
deepforest,0.4077319587628866,0.9987373737373737
deepforest,0.40794223826714804,0.9987373737373737
deepforest,0.40815273477812175,0.9987373737373737
